| Shot | Impactor | Ql (km/s) | Tp (K) | Pp (g/cm') | (km/s)      | &s (km/s)   | P (GPa) ' | V (cm'/mol) |
| ---  | ---      | ---       | ---    | ---        | ---         | ---         | ---       | ---         | ---         |
| LHe4 | Al       | 2.539     | 4.31   | 0.1233     | 2.47 + 0.02 | 4.05 + 0.06 | 1.23 +    | 0.02        | 12.7 + 0.4  |
| LHe5 | Al       | 6.243     | 4.31   | 0.1233     | 5.97 + 0.03 | 8.82 + 0.06 | + 6.50    | 0.07        | 10.5 + 0.2  |
| LHe2 | Ta       | 6.658     | 4.30   | 0.1235     | 9.39 + 0.05 | 13.5 + 0.1  | 15.6      | + 0.2       | + 0.30 9.78 |
